Umsteigebauwerke,,,,,,,,,,,,,
,,,,,,,,,,,,,
Typ,Nr.,Name,Umsteigebauwerk_niveau  ,X,Y,Exportnummer,HAFAS-Nr.,,,,,,
Zwischenpunkt,43,Zwischengeschoss Georgenstraße (Treppe Friedrichstraße/Georgenstraße/S-Bahn),-2,4594350,5821680,9702043,,,,,,,
Zwischenpunkt,59,Treppenabsatz Georgenstraße (Treppe zum Bahnsteig S1/2/25),-1,4594350,5821680,9702059,,,,,,,
Zugang,17,Zugang (Treppe U6) Georgenstraße,0,4594275,5821649,9702017,,,,,,,
Zugang,8,Zugang (Treppe) Reichstagufer,0,4594201,5821717,9702008,,,,,,,
Zwischenpunkt,64,Ladenstraße/Verteiler S1/2/25 (Treppe zum Bahnsteig S1/2/25),1,4594349,5821679,9702064,,,,,,,
Zwischenpunkt,83,Zwischenebene (Aufzug zur Ladenstraße und zum Bahnsteig S5/7/75/3),2,4594350,5821679,9702083,,,,,,,
Zwischenpunkt,71,Ladenstr.aße(Treppe zum Zwischengeschoss Ladenstraße),0,4594349,5821679,9702071,,,,,,,
Zwischenpunkt,73,"Ladenstraße (Rolltreppe zum Bahnsteig Gleis 3,4)",0,4594349,5821679,9702073,,,,,,,
Zwischenpunkt,79,Zwischenebene (Treppe1  zum Bahnsteig S5/7/75/3),2,4594350,5821680,9702079,,,,,,,
Zwischenpunkt,87,Bahnsteig S5/7/75/3 (Rolltreppe zur Ladenstraße/Verteiler S1/2/25),3,4594349,5821679,9702087,,,,,,,
Zwischenpunkt,92,Brücke (Treppe zum Bahnsteig S5/7/75/3),2,4594350,5821680,9702092,,,,,,,
Zwischenpunkt,88,Bahnsteig S5/7/75/3 (Treppe2 zur Zwischenebene),3,4594349,5821680,9702088,,,,,,,
Zwischenpunkt,97,Bahnsteig Gleis 3/4 (Treppe zur Ladenstraße),3,4594350,5821680,9702097,,,,,,,
Zwischenpunkt,100,Bahnsteig Gleis 1/2  (Aufzug zur Ladenstraße),3,4594350,5821680,9702100,,,,,,,
Zwischenpunkt,102,Bahnsteig Gleis 1/2  (Rolltreppe zum Zwischengeschoss Ladenstraße),3,4594350,5821680,9702102,,,,,,,
Zwischenpunkt,32,Bahnsteig U6 (Treppe2 zum Zwischengeschoss Georgenstraße),-3,4594349,5821679,9702032,,,,,,,
Zugang,7,Zugang (Treppe) Schiffbauerdamm,0,4594107,5821756,9702007,,,,,,,
Zwischenpunkt,52,Bahnsteig S1/2/25 (Rolltreppe zum Zwischengeschoss Spreeufer),-3,4594349,5821679,9702052,,,,,,,
Zwischenpunkt,103,Zwischengeschoss Ladenstraße (Treppe zur Zwischenebene),1,4594350,5821680,9702103,,,,,,,
Zwischenpunkt,28,Bahnsteig U6 (Rolltreppe zum Zwischengeschoss Spreeufer),-3,4594349,5821680,9702028,,,,,,,
